[2024-07-08 23:30:15] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 23:40:07] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 6
[2024-07-08 23:42:27] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 6
[2024-07-08 23:45:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 6
[2024-07-08 23:55:39] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 23:55:42] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 6
[2024-07-08 23:56:19] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 23:56:21] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:56:47] IP: 127.0.0.1 | Utilisateur: admin | Action: Déconnexion de l'administrateur admin
[2024-07-08 23:57:06] IP: 127.0.0.1 | Utilisateur: Invité | Action: Visite de la page d'accueil
[2024-07-08 23:57:08] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-08 23:57:47] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 4
[2024-07-09 00:02:34] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation de la page des films
[2024-07-09 00:02:36] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 5
[2024-07-09 00:10:13] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 5
[2024-07-09 00:13:10] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 5
[2024-07-09 00:15:27] IP: 127.0.0.1 | Utilisateur: Invité | Action: Confirmation de la mission ID: 7
[2024-07-09 00:17:15] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation de la page des films
[2024-07-09 00:17:17] IP: 127.0.0.1 | Utilisateur: Invité | Action: Consultation des détails du film ID: 5
[2024-07-09 00:18:07] IP: 127.0.0.1 | Utilisateur: admin | Action: Accès au système par l'agent administrateur admin
[2024-07-09 00:20:08] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-09 00:20:10] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 5
[2024-07-09 00:20:36] IP: 127.0.0.1 | Utilisateur: admin | Action: Confirmation de la mission ID: 9
[2024-07-09 00:25:04] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-09 00:25:05] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 5
[2024-07-09 00:25:18] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 5
[2024-07-09 00:25:24] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-09 00:35:03] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
